,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Stevens, Kristian A",45,8,37,11,0,0,0,0
"Subbotin, Sergei A",20,17,3,1,0,0,0,0
"Tai, Thomas H",18,15,3,3,0,0,0,0
"Tantillo, Dean J",264,252,12,5,6,6,0,0
"Till, Bradley J",23,22,1,1,0,0,0,0
"Volder, Astrid",16,13,3,2,1,1,0,0
"Zwieniecki, Maciej A",51,24,27,10,1,1,0,0
"Abou Kubaa, Raied",3,2,1,2,0,0,0,0
"Anagbogu, Chinyere F",3,0,3,2,0,0,0,0
"Ariani, Andrea",10,1,9,2,0,0,0,0
"Arzani, Ahmad",6,3,3,1,0,0,0,0
"Barrett, Diane M",12,8,4,2,0,0,0,0
"Britt, R David",163,161,2,1,0,0,0,0
"Burnett, Nicholas P",18,18,0,0,0,0,0,0
"BurtonFreeman, Britt M",20,20,0,0,0,0,0,0
"Cacho, N Ivalu",8,3,5,5,0,0,0,0
"Chern, Mawsheng",32,14,18,2,0,0,0,0
"Chin, Alana R O",7,0,7,6,0,0,0,0
"Claypool, NB",2,2,0,0,0,0,0,0
"Davidson, Anna",4,3,1,1,0,0,0,0
"De La Torre, Amanda R",14,2,12,4,0,0,0,0
"Dean, Ellen A",9,9,0,0,1,1,0,0
"Dehghani, Hamid",7,3,4,2,0,0,0,0
"Dhar, Nikhilesh",15,7,8,2,0,0,0,0
"Dhir, Ashish",16,16,0,0,0,0,0,0
"DiCaprio, Erin",11,11,0,0,6,6,0,0
"DiazLara, Alfredo",28,1,27,4,0,0,0,0
"Fatino, Matthew J",4,0,4,1,0,0,0,0
"Filkov, Vladimir",49,42,7,2,5,5,0,0
"Fisher, Andrew J",32,27,5,6,3,3,0,0
"Forrestel, Elisabeth J",24,16,8,10,1,1,0,0
"Godfrey, Jessie M",7,2,5,4,0,0,0,0
"GonzalezFuentes, Jose A",2,2,0,0,0,0,0,0
"Gremer, Jennifer R",25,15,10,4,2,0,2,2
"Ham, ByungKook",11,1,10,2,0,0,0,0
"Hammock, Bruce D",606,597,9,4,2,2,0,0
"Houlton, Benjamin Z",43,39,4,4,0,0,0,0
"Jin, Yufang",53,44,9,5,6,6,0,0
"Josephs, Emily B",6,4,2,1,0,0,0,0
"Kahl, Hanna M",7,1,6,3,0,0,0,0
"Kasemsap, Pornpipat",4,0,4,1,0,0,0,0
"Khalsa, Sat Darshan S",27,6,21,9,0,0,0,0
"Khush, Gurdev S",12,10,2,2,0,0,0,0
"Kisekka, Isaya",82,77,5,5,5,5,0,0
"Kluepfel, Daniel",9,6,3,7,0,0,0,0
"Knapp, Anna",3,0,3,2,0,0,0,0
"Lal, Neeraj K",7,0,7,6,0,0,0,0
"Lei, Tong",5,1,4,2,0,0,0,0
"Leveau, Johan H J",45,36,9,10,0,0,0,0
"Ma, Chao",18,2,16,2,0,0,0,0
"Madsen, John D",8,6,2,1,0,0,0,0
"Magney, Troy S",65,43,22,19,2,1,1,2
"Marti, Angel Fernandez i",5,4,1,1,0,0,0,0
"McRoberts, Neil",34,27,7,4,5,5,0,0
"Montanez, Isabel P",72,69,3,1,0,0,0,0
"Muhammad, Saiful",6,0,6,3,0,0,0,0
"Nham, Ngoc T",3,0,3,3,0,0,0,0
"Oki, Lorence R",24,24,0,0,2,2,0,0
"Parker, Lauren E",18,14,4,4,0,0,0,0
"Peng, Hui",11,6,5,3,0,0,0,0
"Pereira, Giuliano E",2,0,2,3,0,0,0,0
"Preto, Cindy R",4,4,0,0,0,0,0,0
"Ramirez, Santiago R",44,43,1,1,2,2,0,0
"Renteria, Jorge L",3,3,0,0,0,0,0,0
"Rosenberger, Nick M",5,3,2,2,0,0,0,0
"Sinclair, Gabriela C",5,0,5,2,0,0,0,0
"Smithers, Brian V",4,4,0,0,0,0,0,0
"SousaBaena, Mariane S",2,0,2,1,0,0,0,0
"StClair, Dina A",2,2,0,0,0,0,0,0
"Stanfield, Ryan C",3,1,2,2,0,0,0,0
"TherouxRancourt, Guillaume",11,2,9,6,0,0,0,0
"Trouillas, Florent P",34,26,8,10,0,0,0,0
"Tulloss, Elise M",3,3,0,0,0,0,0,0
"Tuscano, Joseph M",85,85,0,0,0,0,0,0
"Ullman, Diane E",15,13,2,2,5,5,0,0
"Volkov, Vadim",7,7,0,0,0,0,0,0
"Weimer, Bart C",96,89,7,4,4,4,0,0
"Williamson, Valerie M",19,12,7,2,0,0,0,0
"Yoder, John I",12,11,1,1,0,0,0,0
"de Freitas, Sergio Tonetto",7,1,6,4,0,0,0,0
"del Blanco, Isabel Alicia",5,3,2,1,0,0,0,0
