,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Garvin, David F",13,9,4,5,0,0,0,0
"Heins, Bradley J",34,33,1,1,6,6,0,0
"Henning, Jeremiah A",17,15,2,2,0,0,0,0
"Hu, Bo",66,66,0,0,1,1,0,0
"Kaproth, Matthew A",7,0,7,6,0,0,0,0
"Katovich, Elizabeth J",4,3,1,3,0,0,0,0
"Khokhani, Devanshi",7,6,1,3,2,2,0,0
"Kothari, Shan",13,3,10,5,0,0,0,0
"Kuang, Rui",45,42,3,2,1,1,0,0
"Kumar, Jitesh",10,6,4,2,0,0,0,0
"Lofgren, Lotus A",10,0,10,4,0,0,0,0
"Lu, Yaojie",3,0,3,1,0,0,0,0
"Maillard, Francois",27,2,25,9,0,0,0,0
"Marks, M David",23,12,11,8,0,0,0,0
"May, Georgiana",23,18,5,2,0,0,0,0
"Meyer, Mary Hockenberry",12,12,0,0,0,0,0,0
"Michaud, Talia J",5,0,5,4,0,0,0,0
"MondragonBotero, Ariadna",9,4,5,1,0,0,0,0
"MoralesBriones, Diego F",14,8,6,2,0,0,0,0
"Naeve, Seth L",55,52,3,6,0,0,0,0
"Olivera, Pablo D",24,3,21,4,0,0,0,0
"Olszewski, Neil E",20,17,3,3,0,0,0,0
"Qiu, Yinjie",28,13,15,12,0,0,0,0
"Rajtar, Nickolas N",8,8,0,0,0,0,0,0
"RamirezValiente, Jose A",6,0,6,1,0,0,0,0
"Reinders, Anke",15,1,14,1,0,0,0,0
"Rice, Karen E",10,0,10,2,0,0,0,0
"Rogers, Mary A",33,20,13,4,2,2,0,0
"Sapes, Gerard",7,3,4,4,0,0,0,0
"Saxhaug, Katrina Freund",5,0,5,3,0,0,0,0
"See, Craig R",17,8,9,7,0,0,0,0
"Shier, W Thomas",31,31,0,0,0,0,0,0
"Singh, Lovepreet",14,11,3,3,0,0,0,0
"Smanski, Michael J",39,36,3,2,6,6,0,0
"Smith, Alan G",14,6,8,5,0,0,0,0
"Srivastava, Ashish",4,4,0,0,0,0,0,0
"Tillmann, Molly",6,0,6,3,0,0,0,0
"Tilman, David",85,56,29,4,0,0,0,0
"Treiber, Erin L",8,0,8,6,0,0,0,0
"Winter, Mark",5,4,1,1,1,1,0,0
"Xu, Zhanyou",12,5,7,4,0,0,0,0
"Yang, Ya",26,16,10,10,2,2,0,0
"Zaret, Max M",5,5,0,0,0,0,0,0
