,PC1,PC2,PC3
EdgesPerNode,0.5060330321271134,-0.009135549599711123,0.07319263310279941
assortativity_unweighted,0.030353931839859905,0.6788320708116038,0.0045374775006310954
assortativity_weighted,-0.06274953593092514,0.5738057015182457,0.5459247277713538
avg_path_over_diameter,-0.1794868139441617,-0.3900007156086679,0.8132555019027846
clique_integration,0.5157775384955183,-0.05654886566174461,0.14824228347356438
global_efficiency,0.45879092826011253,-0.1889630402996374,0.028607352484255114
local_efficiency,0.47993812466656316,0.13727787620046777,0.11139916859841685
