Predictor,beta,SE,p_value,CI_lower,CI_upper,significance,Pseudo_R2,n,AIC
EdgesPerNode,0.7981681225928003,0.17291223063001349,3.911495714798532e-06,0.45926637807149034,1.1370698671141104,***,0.635325314648385,51,-355.19146893714077
clique_integration,-1.7791770821385742,0.8441454465294772,0.03505984661961109,-3.4336717550498315,-0.12468240922731688,*,0.635325314648385,51,-355.19146893714077
global_efficiency,0.6516615178197946,1.1712850766005993,0.5779616543569635,-1.6440150479466185,2.9473380835862075,,0.635325314648385,51,-355.19146893714077
local_efficiency,1.1209130149779216,0.8063628934876523,0.16450304799475934,-0.4595292147273846,2.701355244683228,,0.635325314648385,51,-355.19146893714077
