Outcome,Model,Shapiro_p,n,R2,AIC,EdgesPerNode_beta,EdgesPerNode_p_value,EdgesPerNode_significance,clique_integration_beta,clique_integration_p_value,clique_integration_significance,global_efficiency_beta,global_efficiency_p_value,global_efficiency_significance,local_efficiency_beta,local_efficiency_p_value,local_efficiency_significance
degree_centrality,Gamma GLM,5.300846014512795e-05,43,0.6220217044548572,-111.59339892661683,1.2038540933819384,3.1187497016053256e-08,***,-2.0113337723013416,0.05972766409033381,,2.2677438821880207,0.22292920695263507,,-1.683439487483874,0.2068042598874945,
eigenvector_centrality,Gamma GLM,8.341954318236498e-07,51,0.14868701372551374,-314.8312990296501,2.328000603097653,3.6859668789562453e-07,***,-5.813995787356897,0.00929396113369031,**,5.533774280627709,0.07438708053232518,,1.2904645133154675,0.5455944673237731,
closeness_centrality,Gamma GLM,0.04820690715580111,43,0.6486133930961608,-129.91225536905762,0.324138509990806,2.5261061679696582e-08,***,-0.6370015308983441,0.025788834084079178,*,0.8233822373653987,0.09803529601269374,,-0.6509414398491494,0.06799948478655195,
betweenness_centrality,Gamma GLM,0.0005623543095155856,38,0.0993850071001825,-187.52766356432542,0.2643075809381068,0.49823875462418843,,0.8802648890360869,0.6432140042421246,,-8.166539795801654,0.03919535311689927,*,2.1530860067343225,0.39360164833094524,
clustering,Gamma GLM,0.015437248464766407,30,0.0407635104631251,-0.5677171761840096,0.05856758006755844,0.7514084904519897,,0.2793067672998684,0.7455253919639881,,-1.8581366913401562,0.3700594650253668,,0.5109560744957216,0.6858897025557571,
