label,β,lo,hi,p,sig
"EdgesPerNode only
(baseline)",0.008938932185309624,0.0074362120427798,0.01087284080627395,1.0340035699139894e-22,***
+ total papers,0.005405892182867479,0.0015184286281494336,0.008363863394148125,0.0024042522354215524,**
+ faculty count,0.005942150789132171,0.0019791385517813733,0.008777055053143249,0.005146860139889803,**
"+ total papers
  & faculty count",0.005379085349706122,0.0012824440345015663,0.007968359563058814,0.004860224200340961,**
