Component,Variance_Explained,Cumulative
PC1,0.4943797704214014,0.4943797704214014
PC2,0.25552268496097347,0.7499024553823749
PC3,0.12171660908009625,0.8716190644624712
PC4,0.059078160203531994,0.9306972246660031
PC5,0.03340421328339319,0.9641014379493963
PC6,0.028485769520186197,0.9925872074695825
PC7,0.0074127925304174535,1.0
