q,β,lo,hi,p
0.1,0.008412091174791317,0.0026274474570130994,0.010354851149963411,7.47319367277142e-05
0.25,0.008152066577504133,0.006329677876959908,0.01122421829151424,1.647700203555873e-05
0.5,0.00909338293627216,0.006893342389808529,0.011201173386026605,4.834102379167359e-07
0.75,0.009655998789564253,0.006775052810743867,0.01384205032887097,5.3741473289335805e-09
0.9,0.01023822715775479,0.0015546610356050726,0.016068588796213264,2.071197816645141e-10
