School,PC1,PC2,PC3
Florida,3.9066748788598638,-0.243318276313705,0.021578464162316763
KState,3.771000957449517,-1.1006706366221084,0.23553360608016669
MU,3.3525723365419076,-0.020606101831884174,1.4826525434386737
UArk,2.8001110864190784,-1.6954510721748375,-0.5286872542590806
UTenn,2.792831466779353,0.214863333924215,-0.26199159256833326
NorthDakota,2.7267903948777623,0.7210417832641121,-0.2821049585307858
NewMexico,2.551161615467927,-0.5063491214623834,-0.019557741826324145
TexasA&M,1.4841043240752883,-0.5455442364423969,0.5162244341326644
ColoradoState,1.333091693584522,0.41746898661667303,0.14306001487260342
Mississippi,1.2879152527178637,-0.1956614018831842,0.6462204314980406
MontanaState,1.096667579286055,-0.8774044941372391,-1.2425192425853657
Clemson,0.805681485675333,-0.6213877960459673,0.6424547555550033
Auburn,0.5614772415551581,-0.3182032793002544,0.0214604129771403
VirginiaTech,0.47573926872539557,0.32982314082563474,-1.259994236717478
Nevada,0.21339659084708354,1.4018938878969749,-0.5996589282817489
Rutgers,-0.21188785292074602,0.43789035418846817,-0.9856140200690962
Maine,-0.2897231451724405,-2.6036450520343224,-0.6698400948243239
OKState,-0.3072972681444969,0.10118650851143447,-0.7906535596570072
SouthDakota,-0.30881094891124683,0.2139574922715107,1.9668052963782268
LouisianaState,-0.512204613251989,-0.5965699565009935,0.5833845638682672
PennState,-0.7303856285931599,1.189518112084293,-1.003310224057909
Hawaii,-0.7930497064992081,1.338755590192786,0.8709607938359859
Massachusetts,-0.9682231965973316,2.0526105413683196,-0.20317924951756455
UCRiver,-0.9787753967753225,1.7458607716395111,-0.1051799456266958
Cornell,-1.1105100209476824,0.4624997973871772,-1.601805475934872
Kentucky,-1.1211698071768084,0.33351558981733626,1.6036921340247152
Maryland,-1.2343740383100197,1.5468309426889626,0.009407016770439484
Arizona,-1.2647257789818198,0.6462919634550303,-0.37761603646045677
Wyoming,-1.3401436553188815,-1.4761087463232527,1.0170819070156507
Delaware,-1.4038045181073784,-0.9888552472933775,-1.6827622061883811
Oregon,-1.4063274745589927,0.5466851383660921,-1.4934077022596661
Connecticut,-1.488000300416682,0.718877425951675,0.16257627579021455
OhioState,-1.5904491959843228,1.315390348234994,-0.11280441080968287
Vermont,-1.6720442908138355,1.5121688768017105,2.209007631254426
UtahState,-1.721074162465424,1.1690878819032282,0.6030393236204024
Idaho,-1.7302667338552424,-0.5980027380714807,-0.010612633424556966
WestVirginia,-3.102673062172497,-0.7461682636666965,-0.09222574991060838
Alaska,-3.87329537688658,-5.282272047286057,0.5883856582349997
