school,n_nodes,n_edges,total_internal_weight,density,avg_degree,avg_weighted_degree,avg_clustering,largest_component_ratio
Alaska,9,2,7.0,0.05555555555555555,0.4444444444444444,1.5555555555555556,0.0,0.3333333333333333
Arizona,52,54,270.0,0.04072398190045249,2.076923076923077,10.384615384615385,0.22275641025641027,0.5576923076923077
Auburn,50,85,240.0,0.06938775510204082,3.4,9.6,0.28909335109335116,0.8
Clemson,47,81,314.0,0.07493061979648474,3.4468085106382977,13.361702127659575,0.3962720494635387,0.8936170212765957
ColoradoState,69,140,520.0,0.059676044330775786,4.057971014492754,15.072463768115941,0.3625436560219169,0.8985507246376812
Connecticut,35,30,93.0,0.05042016806722689,1.7142857142857142,5.314285714285714,0.3066666666666667,0.2571428571428571
Cornell,178,208,348.0,0.013203834190312956,2.337078651685393,3.9101123595505616,0.2418819394351623,0.6179775280898876
Delaware,21,18,53.0,0.08571428571428572,1.7142857142857142,5.0476190476190474,0.13650793650793652,0.6190476190476191
Florida,278,1256,5194.0,0.032620834740150116,9.035971223021583,37.36690647482014,0.35789608573225773,0.9460431654676259
Georgia,149,480,1737.0,0.0435334663522583,6.442953020134228,23.315436241610737,0.35115996275713207,0.8456375838926175
Hawaii,35,38,148.0,0.06386554621848739,2.1714285714285713,8.457142857142857,0.26285714285714284,0.6571428571428571
Idaho,28,21,135.0,0.05555555555555555,1.5,9.642857142857142,0.2726190476190476,0.39285714285714285
Illinois,96,318,1009.0,0.06973684210526315,6.625,21.020833333333332,0.317533117753706,0.8333333333333334
Iowa,118,406,1758.0,0.05881500796755034,6.88135593220339,29.796610169491526,0.44319011685792914,0.9491525423728814
IowaState,118,43,61.0,0.006229175720701145,0.7288135593220338,1.0338983050847457,0.10038337368845843,0.17796610169491525
Kentucky,53,64,314.0,0.04644412191582003,2.4150943396226414,11.849056603773585,0.30332434860736746,0.6981132075471698
KState,99,379,1672.0,0.07812822098536384,7.656565656565657,33.77777777777778,0.4699111614149656,0.8383838383838383
LouisianaState,29,33,93.0,0.0812807881773399,2.2758620689655173,6.413793103448276,0.37356321839080464,0.6896551724137931
Maine,10,9,25.0,0.2,1.8,5.0,0.14333333333333334,0.8
Maryland,39,35,146.0,0.04723346828609987,1.794871794871795,7.487179487179487,0.28840048840048843,0.3076923076923077
Massachusetts,48,51,325.0,0.04521276595744681,2.125,13.541666666666666,0.28414351851851855,0.5833333333333334
Michigan,169,482,1296.0,0.03395322626091857,5.704142011834319,15.337278106508876,0.31739739630181374,0.9230769230769231
Minnesota,143,382,1351.0,0.037624347483502414,5.3426573426573425,18.895104895104897,0.3245637816276929,0.8951048951048951
