,Total papers,Solo papers,Collaborative papers,Unique collaborators,Grants,Solo grants,Collaborative grants,Unique grant collaborators
"Ficklin, Stephen P",43,26,17,11,2,2,0,0
"Fu, Daolin",4,2,2,1,0,0,0,0
"Garfinkel, Andrea R",5,0,5,1,0,0,0,0
"Gargouri, Mahmoud",12,2,10,8,0,0,0,0
"Gleason, Cynthia A",27,17,10,8,4,4,0,0
"Hammad, Hafiz Mohkum",10,10,0,0,0,0,0,0
"Jack, Chandra N",7,1,6,3,1,1,0,0
"Jones, Stephen S",23,10,13,12,0,0,0,0
"Landry, Erik J",9,3,6,5,0,0,0,0
"McCord, Per H",14,11,3,3,1,1,0,0
"Mishra, Gayatri",3,3,0,0,0,0,0,0
"Naruoka, Yukiko",6,1,5,4,0,0,0,0
"Navarre, Duroy A",22,15,7,4,0,0,0,0
"Norberg, Steven",6,5,1,2,2,2,0,0
"OHearn, Jonathan S",2,2,0,0,0,0,0,0
"Pathare, Varsha S",11,3,8,4,0,0,0,0
"Porter, Stephanie S",24,10,14,4,3,2,1,1
"Quinlan, Marsha B",19,19,0,0,1,1,0,0
"Roje, Sanja",19,16,3,4,2,2,0,0
"Sanad, Marwa N M E",3,0,3,3,0,0,0,0
"SchmidtJeffris, Rebecca A",25,24,1,1,0,0,0,0
"Tian, Li",22,6,16,2,1,0,1,2
"Tymon, Lydia S",7,4,3,3,1,1,0,0
"Uhdre, Renan Santos",10,5,5,7,0,0,0,0
"Villamor, D E V",4,4,0,0,0,0,0,0
"Wang, Shaojin",204,204,0,0,0,0,0,0
