school,EdgesPerNode,assortativity_unweighted,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma_small_world_index,omega_small_world_index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering
Alaska,0.2222222222222222,-1.0,0.06944444444444445,0.0,0.6666666666666666,0.0,,,0.0,5.812385956039157e-14,0.0,0.0,0.0
Arizona,1.0384615384615385,0.18551558190034625,0.13005997270703104,0.24468101343101345,0.4651653764954258,0.19230769230769232,4.127212333864475,0.11514337385013984,0.08,0.058777181169017235,0.3493069306930693,0.003403263403263404,0.6666666666666666
Auburn,1.7,-0.09979179060083378,0.27825850340136216,0.3231619195619196,0.46538461538461534,0.42,3.503200444271173,0.24191308691308677,0.1,0.06338103052808831,0.3328301886792453,0.0008711016874282181,0.6
Clemson,1.7234042553191489,-0.14875250968707238,0.31938020351526614,0.4388165813697728,0.5065814943863725,0.3191489361702128,4.625438393052252,0.04270036916196662,0.14,0.10333747251569014,0.3563636363636364,0.007447359896339488,0.47619047619047616
ColoradoState,2.028985507246377,0.10187392652977485,0.3019942759712583,0.43165749977344176,0.4575054770718441,0.4492753623188406,4.960329412856116,0.08854006541130988,0.16,0.10857464886128342,0.392,0.07237256978610362,0.32142857142857145
Connecticut,0.8571428571428571,0.10209102091020968,0.08263305322128847,0.31857142857142856,0.4861111111111111,0.17142857142857143,2.106835917178234,-0.04568783068783078,0.02,0.00011641661973305927,0.18279792746113988,0.0,0.0
Cornell,1.1685393258426966,-0.01590271089681839,0.11121132565143049,0.26171397174956235,0.38811130487527484,0.14606741573033707,12.135025008540286,0.14897981531644677,0.04,0.020680490539968597,0.32072727272727275,0.0013605442176870747,0.0
Delaware,0.8571428571428571,-0.1134020618556701,0.1922222222222222,0.13650793650793652,0.4337606837606838,0.14285714285714285,1.120646103138185,0.4981369205507137,0.04,0.0192222561257249,0.2915702479338843,0.03346938775510204,0.0
Florida,4.517985611510792,-0.024876955256225453,0.3287471724527847,0.4916604149941709,0.43678551733002724,0.7949640287769785,8.945594414896833,0.12838697720089332,0.32,0.25814509807234837,0.4465822784810126,0.026176209993610637,0.5583333333333333
Georgia,3.221476510067114,0.05144044123219608,0.27689238855344006,0.4527354802256478,0.3766507936507936,0.6845637583892618,5.960590638565709,0.029445525645510395,0.3,0.23006844238964289,0.4302439024390244,0.028938469693571736,0.49523809523809526
Hawaii,1.0857142857142856,0.07458143074581432,0.1913445378151263,0.28955782312925166,0.4710144927536232,0.2571428571428571,3.459429672611689,0.1480419580419582,0.04,0.0014922180185664472,0.23210526315789476,0.03346938775510204,0.0
Idaho,0.75,-0.07103825136612092,0.10185185185185185,0.2726190476190476,0.5181818181818182,0.14285714285714285,1.8234939011076048,0.031539074960127755,0.0,5.812385956039157e-14,0.0,0.0,0.0
Illinois,3.3125,0.15482487815928392,0.31029970760234576,0.42515256507537275,0.5206962025316455,0.65625,3.3871663423830287,0.13032965802560192,0.28,0.24454709565640934,0.43555555555555553,0.017351239463484366,0.6703296703296703
