school,EdgesPerNode,assortativity_unweighted,global_efficiency,local_efficiency,avg_path_over_diameter,clique_integration,sigma_small_world_index,omega_small_world_index,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering,pagerank
Arizona,1.0384615384615383,0.1855155819003462,0.130059972707031,0.2446810134310134,0.4651653764954258,0.1923076923076923,4.127212333864475,0.1151433738501398,0.08,0.0587771811690172,0.3493069306930693,0.0034032634032634,0.6666666666666666,0.013283523015920437
Auburn,1.7,-0.0997917906008337,0.2782585034013621,0.3231619195619196,0.4653846153846153,0.42,3.503200444271173,0.2419130869130867,0.1,0.0633810305280883,0.3328301886792453,0.0008711016874282,0.6,0.014061950045588035
Clemson,1.7234042553191489,-0.1487525096870723,0.3193802035152661,0.4388165813697728,0.5065814943863725,0.3191489361702128,4.625438393052252,0.0427003691619666,0.14,0.1033374725156901,0.3563636363636364,0.0074473598963394,0.4761904761904761,0.018656134525954046
ColoradoState,2.028985507246377,0.1018739265297748,0.3019942759712583,0.4316574997734417,0.4575054770718441,0.4492753623188406,4.960329412856116,0.0885400654113098,0.16,0.1085746488612834,0.392,0.0723725697861036,0.3214285714285714,0.024976837616876458
Connecticut,0.8571428571428571,0.1020910209102096,0.0826330532212884,0.3185714285714285,0.4861111111111111,0.1714285714285714,2.106835917178234,-0.0456878306878307,0.02,0.000116416619733,0.1827979274611398,0.0,0.0,0.01143983471315953
Cornell,1.1685393258426966,-0.0159027108968183,0.1112113256514304,0.2617139717495623,0.3881113048752748,0.146067415730337,12.135025008540286,0.1489798153164467,0.04,0.0206804905399685,0.3207272727272727,0.001360544217687,0.0,0.009080136104154063
Delaware,0.8571428571428571,-0.1134020618556701,0.1922222222222222,0.1365079365079365,0.4337606837606838,0.1428571428571428,1.120646103138185,0.4981369205507137,0.04,0.0192222561257249,0.2915702479338843,0.033469387755102,0.0,0.013204291750324882
Florida,4.517985611510792,-0.0248769552562254,0.3287471724527847,0.4916604149941709,0.4367855173300272,0.7949640287769785,8.945594414896833,0.1283869772008933,0.32,0.2581450980723483,0.4465822784810126,0.0261762099936106,0.5583333333333333,0.03725503265728684
Georgia,3.221476510067114,0.051440441232196,0.27689238855344,0.4527354802256478,0.3766507936507936,0.6845637583892618,5.960590638565709,0.0294455256455103,0.3,0.2300684423896428,0.4302439024390244,0.0289384696935717,0.4952380952380952,0.03598054104632397
Hawaii,1.0857142857142856,0.0745814307458143,0.1913445378151263,0.2895578231292516,0.4710144927536232,0.2571428571428571,3.459429672611689,0.1480419580419582,0.04,0.0014922180185664,0.2321052631578947,0.033469387755102,0.0,0.018941998903164548
