Predictor,beta,p_value,Pseudo_R2,n,significance
EdgesPerNode,0.588294952431273,3.5594707856494042e-22,0.5926243966425353,51,***
clique_integration,2.066564777229893,3.5267492487311665e-10,0.4144979783406243,51,***
global_efficiency,5.6023332280824665,1.0162811151862923e-13,0.4072421711518369,51,***
local_efficiency,3.853826936447394,4.61146304666971e-16,0.45519082910051967,51,***
